Title,File,Topics,Content Type,Source,Date Written
"Their teenage sons died by suicide. Now, they are sounding an alarm about AI chatbots",Link,"AI, Digital Safety",News,NPR,9/19/2025
Charlotte Child Pornography Case Shows 'Unsettling' Reach of AI Imagery,Link,"AI, Law Enforcement",News,Federal Bureau of Investigation,4/29/2024
A.I.-Generated Images of Child Sexual Abuse Are Flooding the Internet,Link,"AI, CSAM",News,New York Times,7/10/2025
A teen died after being blackmailed with A.I.-generated nudes. His family is fighting for change,Link,"AI, Sextortion",News,CBS News,5/31/2025
Dead in 6 hours: How Nigerian sextortion scammers targeted my son,Link,Sextortion,News,BBC,6/8/2024
"Florida man arrested of using AI to create child pornography, deputies say",Link,"AI, CSAM, Law Enforcement",News,Wesh,9/30/2025
AI-generated child abuse global hit leads to dozens of arrests,Link,"AI, CSAM, Law Enforcement",News,BBC,2/28/2025
"Former School District Employee Charged with Using AI Technology to Produce Sexual Abuse Images of Children in his Care, and Possession and Receipt of Child Pornography",Link,"AI, CSAM, School",News,United States Attorney's Office | District of Minnesota,2/26/2025
"A day after Newsom kills AI kid safety bill, Altman announces ChatGPT erotica",Link,"AI, Legislation",News,The San Francisco Standard,10/14/2025
Pennsylvania man charged with possessing AI-generated child pornography ,Link,"AI, CSAM, Law Enforcement",News,CBS News,4/14/2025
Army Soldier Arrested for Using AI to Generate Child Pornography,Link,"AI, Legislation, CSAM",News,United States Department of Justice Archives,8/26/2024
Teacher accused of creating AI-generated child pornography of students,Link,"AI, CSAM, School",News,WMC/Grey News,3/13/2025
Convicted sex offender allegedly found with AI-generated child porn facing federal criminal charge,Link,"AI, CSAM, Law Enforcement",News,Hartford Courant,5/14/2024
"FBI has opened 250 investigations tied to violent online network '764' that preys on teens, top official says ",Link,"Law Enforcement, Digital Safety",News,abc News,5/6/2025
Police: Rocky Hill man tried to arrange meeting with detective posing as teen,Link,"Child Abuse, Law Enforcement",News,News 8,10/10/2025
Fieldstone Middle School student arrested in months-long sextortion investigation in Stony Point ,Link,"Sextortion, School",News,abc 7,9/17/2025
Middle School Boy Accused of Catfishing Classmates in Sextortion Scheme,Link,"Sextortion, School, Digital Safety",News,New York Times,9/22/2025
Stamford police warn of new sextortion email scam,Link,"Digital Safety, Law Enforcement, Sextortion",News,NBC Connecticut,9/6/2024
